NoRelatedSym,Symbol,SymbolSfx,SecurityID,SecurityIDSource,SecurityType,MaturityDate,IssueDate,Side,OrderQty,SettlDate,Currency,OrdType,TransactTime,Price,PriceType,Yield,NoPartIDs,PartyID,DealerID,DealerTraderID,CustomerTraderID,CustomerID,PartyIDSource,PartyRole,DealerCount,OrdSubType
1,135087L93,WI,,1,BOND,9/1/2026,4/16/2021 0:00,BUY,2400000,12/16/2021,EUR,1,15:20:43,,1,,1,1,334,10792,6549,129,D,13,5,OUTRIGHT
1,135087L93,WI,,1,BOND,9/1/2026,4/16/2021 0:00,BUY,2400000,12/16/2021,EUR,1,15:20:43,98.72,1,1.281,1,1,335,117793,6549,129,D,13,5,OUTRIGHT
1,135087L93,WI,,1,BOND,9/1/2026,4/16/2021 0:00,BUY,2400000,12/16/2021,EUR,1,15:20:43,98.72,1,1.281,1,1,325,119290,6549,129,D,13,5,OUTRIGHT
1,135087L93,WI,,1,BOND,9/1/2026,4/16/2021 0:00,BUY,2400000,12/16/2021,EUR,1,15:20:43,98.711,1,1.283,1,1,327,113852,6549,129,D,13,5,OUTRIGHT
1,135087L93,WI,,1,BOND,9/1/2026,4/16/2021 0:00,BUY,2400000,12/16/2021,EUR,1,15:20:43,98.699,1,1.286,1,1,337,117795,6549,129,D,13,5,OUTRIGHT
1,135087M76,WI,,1,BOND,11/1/2023,8/9/2021 0:00,SELL,15000000,12/16/2021,EUR,1,15:21:28,99.162,1,0.952,1,1,325,119752,7019,277,D,13,4,OUTRIGHT
1,135087M76,WI,,1,BOND,11/1/2023,8/9/2021 0:00,SELL,15000000,12/16/2021,EUR,1,15:21:28,99.162,1,0.952,1,1,336,117794,7019,277,D,13,4,OUTRIGHT
1,135087M76,WI,,1,BOND,11/1/2023,8/9/2021 0:00,SELL,15000000,12/16/2021,EUR,1,15:21:28,99.16,1,0.953,1,1,323,117786,7019,277,D,13,4,OUTRIGHT
1,135087M76,WI,,1,BOND,11/1/2023,8/9/2021 0:00,SELL,15000000,12/16/2021,EUR,1,15:21:28,99.145,1,0.961,1,1,337,117795,7019,277,D,13,4,OUTRIGHT
1,135087L93,WI,,1,BOND,9/1/2026,4/16/2021 0:00,SELL,600000,12/16/2021,EUR,1,15:24:19,98.675,1,1.291,1,1,335,117793,11532,177,D,13,4,OUTRIGHT
